羅馬字	漢字	頻率
cʽün-go	穿個	1
cʽün-ko	穿過	1
cʽün-leh	穿勒	2
cʽün-tsiah	穿着	2
da-bih	大闢	8
da-bih-go	大闢個	11
da-din-go	大殿個	1
da-jing	大人	1
da-joh	大熟	1
da-mô	大瑪	1
da-mô-fong	大麻瘋	3
da-mô-fong	大麻风	2
da-næn	大難	1
dah-diao	踏掉	1
dah-diao-ts	踏掉仔	1
dah-kyiah-teng	踏腳凳	2
dah-tʽa	達太	1
dao	道	72
dao	逃	3
dao-de	道了	1
dao-li	道理	18
dao-tseo	逃走	1
dao-tseo-de	逃走了	1
dao-yi	道義	1
dao-z	道是	1
dao-zeh	盜賊	3
de	了	11
de	兌	1
de-ho	隊夥	1
de-li	隊裏	2
deh	奪	2
deh-leh-kyʽi	奪勒去	4
deh-ma-dziao	特買潮	2
deh-we	特爲	5
den	窞	1
den-li	窞裏	1
deng	庉	6
deng-kæn	庉間	1
deng-leh	庉了	1
deng-leh	庉勒	1
deng-lôh	庉落	3
deng-lôh-de	庉落了	1
deng-sing-ts	庉身之	1
deng-tih-go	庉的個	2
deo	頭	9
deo	投	1
deo-fah	頭髮	2
deo-go	頭個	1
deo-ih-go	頭一個	2
deo-ih-kwang	頭一梗	1
deo-ih-kwʽe	頭一塊	1
deo-ih-vah	頭一伐	2
deo-kying	頭頸	1
deo-li	頭裏	2
deo-lôh	投落	1
deo-nyih	頭日	2
deo-ts	頭子	1
deo-we	頭位	1
deo-zông	頭上	1
di	地	4
di-cing	地震	2
di-de	啼了	1
di-fông	地方	47
di-fông-go	地方個	4
di-go	啼個	2
di-go	地個	2
di-ih	第一	1
di-ka	地界	5
di-kyüô-po-li	第加波利	1
di-kyʽi	提起	2
di-kʽang-li	地坑裏	1
di-kʽoh	啼哭	1
di-kʽoh-go	啼哭個	6
di-nyi	第二	4
di-nyi-go	第二個	1
di-nyi-tsao	第二遭	1
di-nyi-vah	第二伐	1
di-nyüoh-go	地獄個	2
di-nyüoh-li	地獄裏	3
di-nyüoh-li-go	地獄裏個	2
di-sæn	第三	5
di-sæn-tsao	第三遭	1
di-ting	地丁	3
di-tsʽih	第七	1
di-tʽu	地土	1
di-yiang	地垟	3
di-yiang-li	地垟裏	4
di-zông	地上	2
di-ʽô	地下	7
diah-ts	碟子	2
diao	掉	1
diao-go	掉個	1
diao-kao	調覺	1
diao-kao-cün-læ	調覺轉來	1
diao-ts	條子	1
dih-ts	笛子	1
din	田	5
din	殿	1
din-deo	田頭	3
din-di	田地	2
din-li	田裏	5
din-li-go	田裏個	1
ding	定	7
ding-jih	定實	1
ding-ze	定罪	3
djong	蟲	1
djong	重	1
djong-deo	重頭	1
djong-djong	重重	1
djong-sin	重先	1
djong-tæn	重擔	1
djông-djôh	撞着	2
djü-leh	除了	4
djü-mih	除滅	3
djü-mih-diao	除滅掉	1
djü-tih-go	住的個	1
djü-tong	住東	1
djün	傳	6
djün	全	1
djün-be	全備	3
djün-cong-tsih-dæ	傳宗接代	1
djün-fu	全副	3
djün-kyʽi	傳去	1
djün-kʽæ	傳開	3
djün-kʽæ-go	傳開個	1
djün-kʽæ-kyʽi	傳開去	1
djün-lôh-læ-go	傳落來個	3
djün-yü	痊癒	1
do	大	16
do	馱	11
do-cʽih	馱出	4
do-cʽih-go	馱出個	1
do-cʽih-kyʽi	馱出去	1
do-cʽih-læ	馱出來	1
do-de	大了	1
do-do	大大	8
do-do-go	大大個	1
do-du	大肚	1
do-go	大個	11
do-go	馱個	1
do-i	大衣	2
do-jü	大如	2
do-ka-zông	大街上	2
do-ka-zông-go	大街上個	1
do-ko	馱個	1
do-kwu-nyiang	大姑娘	1
do-kyü	馱歸	1
do-kyʽi	馱去	3
do-kyʽi-læ	大起來	2
do-leh	馱勒	28
do-leh-kying	大勒緊	1
do-læ	馱來	5
do-nyiang	大樣	8
do-nying	大人	1
do-tih	馱的	1
do-ts	馱仔	1
doh-dzô-go	毒蛇個	2
doh-go	讀個	1
doh-ko	讀過	6
doh-meng	獨門	1
doh-ngæn	獨眼	1
doh-shü-nying	讀書人	24
doh-zi	獨自	1
dong	洞	4
dong	動	2
dong-de	同隊	10
dong-de-go	同隊個	3
dong-din	銅鈿	4
dong-nyü	童女	4
dong-siu	動手	2
dong-zih-go	同席個	1
dong-zông	同牀	1
du-bi	肚皮	2
du-ko	渡過	3
du-kyi	肚飢	7
du-kyi-de	肚飢了	2
dz-pe	慈悲	2
dz-pe-sing	慈悲心	4
dza	咋	10
dza-go	咋個	19
dza-we	咋會	25
dza-we-we-leh	咋會爲了	1
dzeng	存	1
dzeng-kæn	存間	1
dzi-de	遲了	1
dziang-kyiu	長久	1
dziang-kyʽi-læ	長起來	1
dziang-m	丈姆	1
dziang-tʽong	長通	3
dziao-leh	朝勒	3
dziao-long	召攏	1
dziao-læ-go	召來個	2
dziao-nyih	潮熱	2
dzih-din-go	值鈿個	1
dzih-teng-tao	直等到	3
dzin-tin-li	錢店裏	1
dzing	成	1
dzing-gyiu	仍舊	3
dzing-jih-go	誠實個	1
dzing-kwun-go	成管個	1
dzing-leh	成勒	2
dzing-lôh	剩落	1
dzing-lôh	沉落	1
dzing-lôh-kyʽi	沉落去	1
dzing-lôh-tong	剩落東	2
dzing-nyün	情願	1
dzing-nyün-go	情願個	1
dzing-ts	城子	1
dzing-ts	臣子	1
dzing-tsʽing	成親	1
dzing-tông	承當	2
dziu	就	1
dziu-dih	仇敵	1
dzong	從	75
dzong-kying-yi-ʽeo	從今以後	3
dzong-læ	從來	1
dzong-tsʽ-ts-ʽeo	從此之後	1
dzong-tsʽ-yi-ʽeo	從此以後	2
dzæ-dzing	才情	1
dzæ-fông	纔方	1
dzæ-nen	在內	4
dzæ-neng-go	才能個	1
dzæ-nga	在外	2
dzæ-veh	財物	7
dzæ-veh-go	財物個	1
dzæ-zin-go	在前個	2
dzæ-ʽeo-go	在後個	2
dzæn-dzih	殘疾	1
dzæn-kyʽüih-go	殘缺個	1
dzæn-kyʽüih-peh-djün-go	殘缺不全個	1
dzæn-tsing	賺進	2
dzæn-tsʽeo	賺湊	2
dzæn-z-go	暫時個	1
dzô	蛇	2
dæ	待	5
dæ	代	3
dæ	抬	1
dæ-kyʽi	抬起	2
dæ-leh	抬了	1
dæn-nyün	但願	3
dæn-yi-li	但以理	1
dæn-z	但是	47
dô-kô	大家	47
dôh-dzô	毒蛇	2
dông	堂	1
dông-deo	蕩頭	21
dông-læ-dông-kyʽi	盪來盪去	1
dông-pin	蕩邊	1
dông-yiang	蕩樣	1
dön	斷	1
dön-de	斷了	1
dön-kyʽün	團圈	2
en	安	3
en	按	3
en	暗	2
en-dong-dong	暗洞洞	5
en-dong-dong-go	暗洞洞個	1
en-dzông	暗藏	1
en-en	按按	5
en-en	暗暗	1
en-go	暗個	2
en-go	按個	1
en-gyin	案件	3
en-leh	安勒	2
en-sih-nyih	安息日	9
en-sih-nyih-go	安息日個	1
en-teh-lih	安得烈	2
en-tsông	安葬	1
en-tsông-hao	安葬好	2
en-tæn	安耽	3
en-w̆e	安慰	1
en-ʽao	暗號	1
eo	謳	32
eo-cʽih-læ-de	謳出來了	1
eo-kyʽi-læ	謳起來	6
eo-leh	謳勒	2
eo-long	謳攏	5
fah	發	5
fah-cʽih	發出	2
fah-cʽih-læ	發出來	3
fah-gyih	發極	1
fah-kao	發酵	1
fah-kwông	發光	1
fah-leh-z	法勒士	2
fah-li-sæ	法利賽	30
fah-siu	發鏽	2
fah-ông	發怏	1
fah-ông-de	發怏了	1
feh	弗	198
feh-jün	弗然	1
feh-ken	弗敢	1
feh-ko	弗過	2
feh-kyʽi	弗起	1
feh-kʽo	弗可	4
feh-leng	弗論	4
feh-z	弗是	38
feh-zing	弗曾	7
feng	分	8
feng	粉	1
feng-bah-liao-go	粉白了個	1
feng-cʽih	分出	3
feng-fu	吩咐	20
feng-fu-go	吩咐個	1
feng-fu-hao-ts	吩咐好仔	1
feng-kyi	糞箕	1
feng-kʽæ	分開	2
feng-lih-kʽæ	分裂開	2
feng-se	粉碎	1
fi-diao	廢掉	1
fi-diao-go	廢掉個	2
fi-dæn	非但	1
fi-li	非禮	4
fi-lih	腓力	1
fi-lih-go	腓力個	2
fi-læ	飛來	1
foh-ing	福音	5
foh-kyʽi	福氣	14
foh-li	福禮	3
fong	風	7
fong-bi	封皮	1
fong-de	風了	1
fong-hao	封好	1
fong-sing	風聲	1
fong-tʽæn	風癱	4
fong-tʽæn-go	風癱個	1
fong-yü	風雨	1
fu-deo	斧頭	1
fu-fu	㩤㩤	1
fu-ts	夫子	5
fæn	翻	1
fæn-cün	反轉	9
fæn-cʽih-læ	翻出來	1
fæn-hyiang	反響	1
fæn-ko	翻過	1
fæn-ping	番餅	1
fông	放	9
fông-jün	方船	1
fông-kæn-ts	放間仔	1
fông-leh	放勒	2
fông-sing	放心	4
fông-teh-go	妨得個	1
go	個	118
gyi	其	632
gyi-cong	其中	1
gyi-go	其個	56
gyi-lah	其拉	300
gyi-lah-go	其拉個	15
gyi-leh	騎勒	1
gyi-z	奇事	1
gyi-zi	其自	6
gyi-zi-go	其自個	4
gyi-zông-kyʽi	騎上去	1
gyiang	滰	2
gyiang-dao	強盜	3
gyiang-deh	強奪	1
gyiang-go	強個	1
gyiang-gyiang	滰滰	2
gyiang-wang-pô-dao	強橫霸道	1
gyih-gah	及軋	1
gyih-jü	及如	1
gying-de	近了	2
gying-long	近攏	1
gying-long-læ-de	近攏來了	4
gying-ng	鯨魚	1
gying-tsʽæ	芹菜	1
gyiu	求	11
gyiu	舊	3
gyiu-go	求個	2
gyiu-gyiu	求求	4
gyü-deo	櫃頭	1
gyü-hyih	懼脅	1
gyü-lôh	跪落	2
gyüih	掘	2
gyün-deo	拳頭	1
gyün-ping	權柄	13
gyüong-go	窮個	1
gyüong-nying	窮人	4
hah	喝	10
hah-leh	嚇勒	1
hah-ngæn	瞎眼	6
hah-ngæn-go	瞎眼個	1
hah-ts	瞎子	10
hah-ts-go	瞎子個	1
hao	好	236
hao-cʽü	好處	6
hao-de	好了	5
hao-go	好個	7
hao-gyi	好其	1
hao-hao	好好	1
hao-hao-tæ-tæ	好好歹歹	1
hao-kʽen-go	好看個	1
hao-lao	好佬	1
hao-lao-go	好佬個	1
hao-nyih	好日	3
hao-nyih-tsiu	好日酒	7
hao-nying	好人	3
hao-pi-ziang	好比像	1
hao-s-teh	好使得	1
hao-sing	好心	1
hao-vong	好甮	15
hao-z	好事	3
he	許	1
heh	黑	1
heh-en	黑暗	3
heh-en-go	黑暗個	3
heh-kyʽi	黑氣	1
hen-kyʽi-læ	撼起來	1
heng	狠	3
ho	火	4
ho-li	火裏	7
ho-lu-li	火爐裏	3
ho-nyih-tʽih-tʽah	火熱鐵塌	1
ho-zih	伙食	1
hong-pʽin	哄騙	3
hwe-diao	毀掉	4
hwe-dzing	灰塵	5
hwun-hwun-hyi-hyi	歡歡喜喜	1
hwun-hyi	歡喜	11
hwun-hyi-go	歡喜個	1
hwô	花	2
hwông-di	荒地	1
hwông-kao	謊告	1
hwông-nyin	荒年	1
hwông-tsʽia	況且	2
hwông-wô	謊話	1
hwông-ʽen	荒旱	1
hyi-gyi	稀奇	11
hyi-gyi-go	稀奇個	1
hyi-lih	希律	15
hyi-lih-go	希律個	1
hyi-lo-ti-go	希羅底個	2
hyi-si-kyüô	希西家	2
hyiang	向	78
hyiang	響	5
hyiang-hyiang	響響	5
hyiang-liang	響亮	1
hyiang-ts	香子	1
hyiang-tsʽeng	鄉村	4
hyiang-yiu	香油	3
hyiao-kʽæ	𢳚開	1
hyiao-teh	曉得	37
hyiao-teh-de	曉得了	1
hyiao-teh-go	曉得個	6
hyin	獻	2
hyin-cʽih	顯出	6
hyin-cʽih-læ	顯出來	1
hyin-cʽih-læ-go	顯出來個	1
hyin-ling	顯靈	1
hyin-zông	獻上	1
hying-kyʽi-læ	興起來	2
hyü	許	1
hyü-nyün	許願	1
hyü-to	許多	25
hyü-to	许多	1
hyü-wô	虛話	1
hyüih	血	7
hyüih-din	血田	1
hyüih-kyʽi	血氣	1
hyüih-leo	血漏	1
hyüong-cü	嗅嘴	1
hyüong-cü-go	嗅嘴個	1
hyüong-di	兄弟	36
hyüong-di-go	兄弟個	1
hyüong-siu	兇手	2
hyüong-ôh	兇惡	3
hyüong-ôh-go	兇惡個	1
hæ	海	10
hæ-du-zông	海塗上	1
hæ-li	海裏	6
hæ-li-go	海裏個	1
hæ-min-hwô	海綿花	1
i	醫	12
i	依	6
i-cʽih	挔出	2
i-cʽih-ts	挔出仔	1
i-cʽün	衣穿	1
i-dzong	依從	2
i-hao	醫好	3
i-hao-de	醫好了	2
i-jing	依順	1
i-leh	依了	1
i-leh	依勒	1
i-lu	依路	1
i-s	意思	12
i-sang	醫生	1
i-sing-mun-tsoh	依心滿足	1
i-zông	衣裳	21
iah-dæn	約但	6
iah-læ	約來	1
iah-læn	約蘭	2
iah-nô	約拿	2
iah-nô-go	約拿個	3
iah-seh	約瑟	11
iah-si	約西	1
iah-si-go	約西個	1
iah-si-üô	約西亞	2
iah-sô-fah	約沙法	2
iah-tæn	約担	2
iah-ʽen	約翰	23
iah-ʽen-go	約翰個	8
iang	秧	1
iang	養	1
iang-ts	秧子	9
iao	要	144
iao-go	要個	2
iao-siang	要想	7
ih	一	21
ih-cü	一株	4
ih-cʽü	益處	1
ih-da	一埭	1
ih-de	一隊	1
ih-deo	一頭	1
ih-diao	一條	2
ih-din	一鈿	4
ih-do-dziao	一大潮	13
ih-dzih	一直	19
ih-en	一按	3
ih-feng	一分	1
ih-go	一個	114
ih-kang	一更	1
ih-keng	一根	6
ih-koh	一國	1
ih-kwang	一梗	2
ih-kwu	一股	1
ih-kwʽe	一塊	5
ih-kyü	一句	6
ih-kô	一家	1
ih-kʽeh	一刻	1
ih-kʽen	一看	1
ih-li	一里	1
ih-liang-go	一兩個	1
ih-lih	一粒	3
ih-me	一枚	1
ih-meh	一末	1
ih-nen	一男	1
ih-ngæn	一眼	7
ih-nyih	一日	4
ih-nyih-go	一日個	1
ih-nyü	一女	1
ih-pah	一百	3
ih-pah-tsah	一百隻	1
ih-pe	一杯	1
ih-pæn	一班	2
ih-pʽih	一匹	4
ih-sing	一聲	4
ih-tin	一點	1
ih-ting	一頂	5
ih-tsah	一隻	9
ih-tsing	一進	1
ih-tsʽih	一切	1
ih-tsʽih-go	一切個	7
ih-tsʽin	一千	4
ih-tô	一朵	2
ih-tʽah	一埭	3
ih-tʽi	一體	2
ih-wah	一劃	1
ih-we	一位	1
ih-yiang	一樣	14
ih-yiang-go	一樣個	3
ih-yün	一園	1
ih-zo	一座	5
ih-zông	一晌	1
in-go	煙個	1
in-tseng	嫌憎	5
ing	應	1
ing-djôh	應着	2
ing-hyü	應許	4
ing-hyü-de	應許了	1
ing-kyʽi	應起	5
ing-kæ	應該	9
ing-kæ-go	應該個	1
ing-leh-læ	應勒來	1
ing-s	陰司	1
ing-s-go	陰司個	1
ing-s-li	陰司裏	1
ing-tông	應當	1
ing-we	因爲	138
iu-meng	憂悶	5
iu-meng-de	憂悶了	1
iu-meng-go	憂悶個	1
iu-meng-siang	憂悶相	1
jih	入	1
jih-dzæ	實在	3
jih-go	十個	2
jih-ih	十一	1
jih-jih-we-we	實實惠惠	1
jih-kwu	十股	1
jih-kwʽe	十塊	1
jih-leh	入勒	1
jih-liang	十兩	1
jih-mo	入魔	2
jih-mo-go	入魔個	4
jih-nyi	十二	9
jih-nyi-go	十二個	6
jih-s	十四	3
jih-tsʽin	十千	1
jih-z-kô	十字架	8
jih-z-kô-zông	十字架上	7
jing-koh-go	神國個	1
jing-koh-li	神國裏	1
jing-ming	神明	29
jing-ming-go	神明個	31
jing-næ	忍耐	3
jing-siu-pin	順手邊	8
jing-tsah	順隻	4
jing-tsih	神蹟	8
joh-go	熟個	2
jü	樹	18
jü	誰	13
jü	如	1
jü	聚	1
jü-go	誰個	2
jü-go	樹個	1
jü-hyiang	乳香	1
jü-jih-long	聚集攏	2
jü-kying	如今	4
jü-lah	誰拉	2
jü-li-üô	敘利亞	1
jü-long	聚攏	5
jü-long-kæn	聚攏間	3
jü-long-tong	聚攏東	1
jü-long-tong-go	聚攏東個	1
jü-noh	誰儂	1
jü-noh-go	誰儂個	1
jü-we-dông-li	聚會堂裏	9
jün	船	8
jün-li	船裏	4
jün-li-go	船裏個	1
ka	介	79
ka	解	1
ka-cʽih	介出	1
ka-dao	街道	1
ka-go	介個	10
ka-kyʽi	解去	1
ka-ni	介呢	33
ka-shih	解說	1
ka-ts	解仔	1
ka-tsʽæ-ts	芥菜子	3
kah-cʽih-læ-go	溢出來個	1
kah-nga	格外	1
kao	告	5
kao	教	5
kao	高	4
kao-dæ	交代	11
kao-fu	交付	7
kao-hyüing	教訓	6
kao-kao	高高	1
kao-leo	高樓	1
kao-shü	酵水	4
kao-su	告訴	3
ke-yün-go	箇園個	1
keh	箇	108
keh	割	2
keh-cong-ka	箇種介	2
keh-cü	箇株	1
keh-cü-ka	箇株介	3
keh-da	箇埭	1
keh-de	箇隊	2
keh-deo	箇頭	36
keh-do-dziao	箇大潮	14
keh-dziao	箇潮	11
keh-dzoh	箇族	2
keh-dæ	箇代	4
keh-go	箇個	126
keh-gyin	箇件	1
keh-keh-sô	革革沙	1
keh-keng	箇根	1
keh-kwʽe	箇塊	6
keh-kyü	箇句	4
keh-kyʽi	箇起	2
keh-lah	箇勒	29
keh-lih	箇粒	1
keh-meh	箇末	3
keh-ngen	箇岸	1
keh-nyi-sah-leh	革尼撒勒	1
keh-pin	箇邊	1
keh-pæn	箇班	3
keh-sing	箇星	141
keh-tang	箇打	1
keh-tsah	箇隻	2
keh-tsao	箇遭	52
keh-tsih	箇節	1
keh-tsing	箇進	2
keh-tông	箇黨	1
keh-tʽah	箇埭	4
keh-veng	箇份	4
keh-we	箇位	6
keh-yiang	箇樣	1
keh-zo	箇座	3
keh-zông	箇晌	1
ken	趕	4
ken	敢	2
ken-cʽih	趕出	12
ken-cʽih-ko	趕出過	1
ken-cʽih-ts	趕出仔	1
ken-den	衦頭	3
ken-dong	感動	2
ken-ko	干戈	1
ken-læn	橄欖	3
ken-tông	敢當	1
ken-zing	乾淨	8
ken-zing-de	乾淨了	2
ken-zing-go	乾淨個	1
keng	跟	6
keng	根	1
keng-deo	根頭	4
keng-djôh	跟着	6
keng-keng	根根	1
keng-kæn-go	跟間個	1
keng-kô	更加	3
keng-leh	跟勒	12
keng-leh-kyʽi	跟勒去	2
keo	夠	1
keo-de	夠了	2
ko	過	2
ko-de	過了	2
ko-hao-ts	裹好仔	1
ko-jü	過如	4
ko-kyʽi	過去	3
ko-leh	過了	4
ko-shih	過失	4
ko-tang-ko	個打個	1
ko-ts	果子	17
ko-tön	果斷	1
ko-ü	過於	2
koh	國	11
koh	穀	2
koh-go	國個	4
koh-kô	國家	2
koh-kô-go	國家個	1
koh-li	國裏	1
koh-tang-koh-go	國打國個	1
koh-tsʽông-li	穀倉裏	2
koh-veng	國份	1
koh-wông	國王	3
koh-wông-go	國王個	1
koh-ʽao	國號	1
kong-din	工鈿	4
kong-fu	工夫	3
kong-hyi	恭喜	1
kong-ing	供應	3
kong-kwu-go	公估個	1
kong-nying	工人	5
kong-we	公會	4
kong-yi	公義	6
kong-yi-go	公義個	1
kwa-kyiah	拐腳	4
kwa-kyiah-go	拐腳個	1
kwah	刮	2
kwah	摑	1
kwe	歸	5
kwe-djong	貴重	4
kwe-kyü	規矩	1
kwe-wông	鬼王	2
kwe-zin	貴賤	1
kweng-ts	棍子	2
kwu	僱	2
kwu-djôh	顧着	10
kwu-djôh-go	顧着個	1
kwu-li-næ	古利奈	1
kwu-sông	孤孀	1
kwu-tin	古典	3
kwu-z-tsin	古時節	3
kwun	官	6
kwun	管	6
kwun-djü	管住	1
kwun-fu	官府	3
kwun-go	管個	1
kwun-kæn	管間	2
kwun-kæn-go	管間個	1
kwun-s	官司	1
kwun-siu	管守	2
kwun-tsiang	管賬	1
kwun-tʽing-li	官廳裏	1
kwæn	關	1
kwæn-ts	關仔	1
kwô	掛	1
kwông	光	2
kwông-liang	光亮	1
kwʽa	快	5
kwʽa-kwʽa	快快	3
kwʽa-lôh-go	快樂個	2
kwʽa-weh	快活	1
kwʽeh-kwʽeh-go	闊闊個	1
kwʽeh-tsʽiah	闊綽	1
kwʽeng-joh	睏熟	1
kwʽeng-joh-de	睏熟了	1
kwʽeng-joh-go	睏熟個	1
kwʽeng-joh-tih	睏熟的	4
kwʽeng-kæn	睏間	3
kwʽeng-ts	睏仔	1
kwʽu-de	枯了	1
kwʽu-deo	苦頭	1
kwʽu-feh-ko	苦弗過	1
kwʽu-leh	枯勒	1
kwʽu-lu-deo	骷顱頭	1
kwʽu-lôh-de	枯落了	1
kwʽu-næn	苦難	4
kwʽu-tæn	苦膽	1
kwʽu-tʽao-kyʽün	箍套圈	1
kwʽun-do	寬大	1
kwʽun-ʽæn	寬限	2
kwʽông-iæ	曠野	8
kyi	雞	3
kyi	幾	2
kyi-diao	幾條	1
kyi-go	幾個	5
kyi-go	繫個	1
kyi-jün	既然	6
kyi-kao	計較	1
kyi-kwang	幾梗	1
kyi-nyiang	雞娘	1
kyi-sing	肌身	5
kyi-sing-go	肌身個	1
kyi-teh	記得	4
kyi-teh-tao	記得到	1
kyi-toh	基督	18
kyi-toh-go	基督個	1
kyi-we	機會	1
kyi-z	幾時	7
kyiah	腳	6
kyiah-li-go	腳裏個	1
kyiah-ʽô	腳下	2
kyiao	教	6
kyiao	繳	1
kyiao-leh	叫勒	18
kyiao-sing-ta	繳身帶	1
kyih	結	12
kyih-go	結個	1
kyih-gyüoh	結局	1
kyih-jih	結實	2
kyih-mih	今末	7
kyih-sah	結煞	2
kyih-sah-go	結煞個	3
kyin	見	3
kyin	建	1
kyin-kah-deo	肩胛頭	1
kying-djong	敬重	5
kying-dzing	京城	1
kying-hyiæ	驚駭	1
kying-si	今世	1
kying-si-go	今世個	1
kying-sing	警醒	6
kying-siu	經手	4
kying-ts	金子	5
kying-zih	禁食	7
kying-zih-go	禁食個	1
kying-zih-gyi	禁食其	1
kyiu	救	13
kyiu	九	3
kyiu-feh-læ	救弗來	1
kyiu-jih	九十	2
kyiu-ko-de	救過了	1
kyiu-sing	救星	1
kyü	鬼	16
kyü	歸	4
kyü	貴	1
kyü-kyʽi	歸去	5
kyü-læ	歸來	4
kyü-tang-kyü	句打句	3
kyü-zông	舉上	1
kyüô-li-li	加利利	17
kyüô-liah-go	加略個	2
kyüô-nen-go	迦南個	1
kyüô-nô-go	迦拿個	1
kyüô-pah-nong	迦百農	4
kyʽi	去	195
kyʽi	豈	7
kyʽi	起	3
kyʽi	氣	2
kyʽi-de	去了	21
kyʽi-deo	起頭	5
kyʽi-diao	棄掉	9
kyʽi-diao-ts	棄掉仔	1
kyʽi-go	去個	3
kyʽi-hao	起好	1
kyʽi-mo	去慕	1
kyʽi-oh-go	起屋個	1
kyʽi-tsʽu	起初	2
kyʽi-zao	去造	4
kyʽih	挈	2
kyʽih-hoh	喫𢞕	4
kyʽih-hoh-de	喫𢞕了	1
kyʽih-lôh	挈落	1
kyʽin	欠	6
kyʽin-hyü-go	謙虛個	1
kyʽin-leh	牽勒	1
kyʽin-læ	牽來	1
kyʽing-go	輕個	1
kyʽing-kʽo	輕可	4
kyʽüih	缺	6
kyʽüih-veng	闕份	1
kyʽün	勸	4
kyʽüoh	喫	33
kyʽüoh-de	喫了	1
kyʽüoh-diao-de	喫掉了	1
kyʽüoh-dzing-go	喫剩個	2
kyʽüoh-go	喫個	6
kyʽüoh-ko	喫過	2
kyʽüoh-kwʽu	喫苦	1
